"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Price","Inventory quantity","Product image URL","Variant image URL"
"Camp Stool","camp-stool","This is a demonstration store. You can purchase products like this from United By Blue.
The Camp Stool is a classic take-anywhere seat that folds flat for easy transport and storage. The stool is crafted in Western North Carolina of kiln dried American Ash hardwood that has been finished with a protective Danish oil. The base of the seat is made from our classic navy blue organic cotton canvas, the same we use in products such as our Foraker Coat,  that is used to make the back of the chair, and detailed with a United By Blue woven patch. This stool is part of a collaboration United By Blue has with heritage outdoor furniture maker Blue Ridge Chair Works.

Chair Weight: 4 lbs
Open Size: 16”w x 11”d x 18”h
Weight Capacity: 300 lbs
Made in the USA
","United By Blue","Outdoor","Outdoor","",true,"active","STOOLNB","78.00",9,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/campstool-1.jpg?v=1738142683",""
"Canvas Lunch Bag","canvas-lunch-bag","This is a demonstration store. You can purchase products like this from United By Blue.
Reusable, durable, and roomy. Our lunchbag has a snap-closure top that rolls down to perfect for trail snacks and lunches. Small enough to throw in any of our bags.

100% Organic Cotton
Leather Trim
Lifetime Guarantee

","United By Blue","Bags","Bags","",true,"active","4219","32.00",2,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/Lunchbag_Khaki_Front_8ae0e1f4-407d-4ac0-89e6-961b306ef351.jpg?v=1738142647","https://cdn.shopify.com/s/files/1/0673/4426/9512/files/Lunchbag_Khaki_Front_8ae0e1f4-407d-4ac0-89e6-961b306ef351.jpg?v=1738142647"
"Chequered Red Shirt","chequered-red-shirt","Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.","partners-demo","","","men",true,"active","","50.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/red-plaid-shirt_925x_be98df1a-9aa4-4186-8ad6-ee9341277beb.jpg?v=1737622119",""
"Chevron","chevron","This is a demonstration store. You can purchase products like this from United By Blue.

100% organic cotton, stone washed slub knit 6 oz jersey fabric
Made in California.


","United By Blue","Womens","Womens","Shirts",true,"active","41WCVCMV1","36.00",0,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/chevron_cream_542f1c3e-e0d9-4c94-aaa2-fff0d1368206.jpg?v=1738142625",""
"Choker with Bead","choker-with-bead","Black choker necklace with 14k gold bead.","Company 123","Necklace","Necklace","Gold, Leather",true,"active","","14.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/black-choker-with-bead_925x_bbe5b144-ecf2-435b-84b3-72de57784f82.jpg?v=1737622174",""
"Choker with Gold Pendant","choker-with-gold-pendant","Black cord choker with gold pendant. Beautifully died black leather shapes a choker necklace with findings of 14k yellow gold, displaying gold pendant in a gorgeous balance of dark and light, delicate and strong. 
14k yellow gold
Leather
Length, 12"" with 2.5"" extender
Width, 0.3""
Lobster clasp
Made in USA
","Company 123","Necklace","Necklace","Choker, Gold, Leather, Pendant",true,"active","","29.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/choker-with-gold-pendant_925x_98599889-c261-4a58-85de-3df002a71b27.jpg?v=1737622178",""
"Choker with Triangle","choker-with-triangle","Black choker with silver triangle pendant.","Company 123","Necklace","Necklace","Leather, Silver, Triangle",true,"active","","47.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/choker-with-triangle_925x_ddf33310-2909-480c-96a2-74d5f76f4632.jpg?v=1737622180",""
"Classic Leather Jacket","classic-leather-jacket","Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.","partners-demo","","","women",true,"active","","80.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/leather-jacket-and-tea_925x_490d88c2-894f-4d78-b685-47e1790c2416.jpg?v=1737622104",""
"Classic Varsity Top","classic-varsity-top","Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.","partners-demo","","","women",true,"active","","60.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/casual-fashion-woman_925x_47b7297c-4613-40ec-b592-25a9c105fa1d.jpg?v=1737622096",""
"Clay Plant Pot","clay-plant-pot","Classic blown clay pot for plants","Company 123","Outdoor","Outdoor","Plants, Pot",true,"active","","9.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/single-sprout-in-a-pot_925x_6961c884-cddd-4754-8edb-5c9aa6805031.jpg?v=1737622034",""
"Copper Light","copper-light","Stylish copper bedside light","Company 123","Indoor","Indoor","Bedroom, Copper",true,"active","","59.99",2,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/copper-light-in-bedroom_925x_1222dcda-597f-4bb7-83af-533b6ad1d187.jpg?v=1737622036",""
"Cream Sofa","cream-sofa","Comfortable cream sofa with wooden base","Company 123","Indoor","Indoor","Couch, Wood",true,"active","","500.00",4,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/condominium-interior-livingroom_925x_e0a82736-69b8-498a-a843-8db5f46bcaac.jpg?v=1737622037",""
"Cydney Plaid","cydney-plaid","This is a demonstration store. You can purchase products like this from United By Blue.

Super soft, super responsible - our wovens were made to last.
Short sleeve
Made of 100% Organic Cotton Plaid, 4 oz
Made in USA

","United By Blue","Womens","Womens","Shirts",true,"active","43WPLBR1","98.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/CydneyPlaid_Longsleeve_e72db08c-cd32-41eb-8251-d826cf0fc299.jpg?v=1738142663","https://cdn.shopify.com/s/files/1/0673/4426/9512/files/DaveChristine65_SiteSquare.jpg?v=1738142663"
"Dainty Gold Necklace","dainty-gold-neclace","Dainty gold necklace with two pendants.","Company 123","Necklace","Necklace","Gold, Pendant",true,"active","","63.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/dainty-gold-necklace_925x_2db284af-c2a5-458f-8849-b85e998cc707.jpg?v=1737622183",""
"dark bush","dark-bush","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Dark Denim Top","dark-denim-top","Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.","partners-demo","","","women",true,"active","","60.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/young-female-models-denim_925x_e92b17ba-4c13-4590-9811-0d75832395a3.jpg?v=1737622106",""
"Dawson Trolley","dawson-trolley","This is a demonstration store. You can purchase products like this from United By Blue.
It's a duffle. It's a wheeling suitcase. It's both. This versatile, carryon-sized travel companion has a contrast leather trim and rugged brass hardware, a removable long strap and stash pockets on the inside and outside of the bag. When not wheeling it around, easily store the collapsible handle behind a hidden zipper pocket.

100% organic canvas 
Cotton lining
Leather trim
Brass hardware
Removable adjustable strap with leather shoulder pad
Lifetime Guarantee

","United By Blue","Bags","Bags","",true,"active","4260","278.00",0,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/DawsonTrolley_Moss_Front_6cca3dc3-51d3-4205-a1e1-ed5d9a03e181.jpg?v=1738142639",""
"delicate dew","delicate-dew","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Derby Tier Backpack","derby-tier-backpack","This is a demonstration store. You can purchase products like this from United By Blue.
Our Derby backpack is built with downpour proof sustainable canvas complemented by leather trim and brass hardware. Features padded canvas shoulder straps adjustable for all -day comfort. Finished with a drawstring closure and snap buckles to keep your belongings safe and secure on any trail taken.

100% organic waxed 18 oz canvas
Full grain genuine leather trim
Heavy-duty brass hardware and YKK zippers
Lifetime Guarantee

","United By Blue","Bags","Bags","",true,"active","4160","148.00",50,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/derbytier_nutmeg_810294de-9152-4bf7-b5e0-b88fc94a1ff8.jpg?v=1738142620",""
"Double Wall Mug","snow-peak-titanium-single-wall-cup","This is a demonstration store. You can purchase products like this from United By Blue.Snow Peak’s classic insulated stainless steel mug is perfect for the home or campsite.","Snow Peak","Outdoor","Outdoor","",true,"active","MG-043R","24.00",4,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/mug.jpg?v=1738142676",""
"Dreamcatcher Pendant Necklace","dreamcatcher-pendant-necklace","Turquoise beaded dream catcher necklace. Silver feathers adorn this beautiful dream catcher, which move and twinkle as you walk.","Sterling Ltd","Necklace","Necklace","Dreamcatcher, Pendant, Silver, Turquoise",true,"active","","23.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/dreamcatcher-pendant-necklace_925x_b3491aee-74de-408e-a0f2-6ba272c73866.jpg?v=1737622185",""
"Duckworth Woolfill Jacket","foraker-canvas-coat","This is a demonstration store. You can purchase products like this from United By Blue.
Inspired by the timeless, functional style of your grandfather's work coat, the Foraker features brass buttons and 4 patch pockets. Crafted in Bristol, Tennessee, our 10oz organic duck canvas is light enough for an early summer morning, but rugged enough to handle your days work.

100% Organic Duck Canvas.
","United By Blue","Mens","Mens","Jackets",true,"active","FORAKER-CA2","188.00",7,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/woolfill-jacket_6c39ae23-c0c8-4821-85f4-4b5d64333c62.jpg?v=1738142652",""
"empty river","empty-river","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Example Hat","example-hat","","Acme","Hat","Hat","mens hat example",false,"archived","","17.99",0,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/kids-beanie.jpg?v=1737621943",""
"Example Pants","example-pants","","Acme","Pants","Pants","mens pants example",false,"draft","","49.99",0,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/distressed-kids-jeans.jpg?v=1737621938",""
"Example T-Shirt","example-t-shirt","","Acme","Shirts","Shirts","mens t-shirt example",true,"active","","25.00",0,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/green-t-shirt.jpg?v=1737621935",""
"falling sun","falling-sun","","hamzateststorepk","","","",false,"active","","0.00",0,"",""
"Floral White Top","floral-white-top","Stylish sleeveless white top with a floral pattern.","partners-demo","","","women",true,"active","","75.00",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/city-woman-fashion_925x_2x_0a389a0a-ce47-4ef9-a565-ddafbfb7cc32.jpg?v=1737622100",""
"Galaxy Earrings","galaxy-earrings","One set of galaxy earrings, with sterling silver clasps.","Sterling Ltd","Earrings","Earrings","Blue, Galaxy, Silver",true,"active","","37.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/galaxy-earrings_925x_d1dc9020-e6a9-42ec-8a49-daff3fef49f1.jpg?v=1737622187",""
"Gardening hand trowel","gardening-hand-trowel","Metal gardening hand trowel with wooden handle","Rustic LTD","Outdoor","Outdoor","Plants",true,"active","","10.99",2,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/spring-gardening-set-up_925x_302e2da4-1dd3-4759-a432-b945270a6d2a.jpg?v=1737622051",""
"Gemstone Necklace","gemstone","Gemstone pendant, housed in sterling silver, with sterling silver chain.

Sterling silver chain, 14 inches
Turquoise or Quartz
Boho Chic
Made in USA
","Sterling Ltd","Necklace","Necklace","Blue, Gem, Purple, Silver, Turquoise",true,"active","","27.99",1,"https://cdn.shopify.com/s/files/1/0673/4426/9512/files/blue-gemstone-pendant_925x_2adc55fa-e174-455e-b70c-44bfa9ac672b.jpg?v=1737622192","https://cdn.shopify.com/s/files/1/0673/4426/9512/files/blue-gemstone-pendant_925x_2adc55fa-e174-455e-b70c-44bfa9ac672b.jpg?v=1737622192"
